mode,label,transport,global_batch_seqs,gpus,timed_step_index,step_ms,source_file
ddp_interleaved,Interleaved,NVLink NV12,480,8,1,337.4,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,2,338.5,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,3,338.9,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,4,337.9,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,5,337.0,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,6,338.1,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,7,337.3,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,8,336.5,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,9,338.7,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,10,338.2,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,11,337.7,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,0,341.8,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,1,340.4,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,2,340.4,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,3,339.9,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,4,339.5,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,5,340.7,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,6,340.6,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,7,340.4,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,8,341.0,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,9,338.9,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,10,339.4,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_torch,PyTorch DDP,NVLink NV12,480,8,11,341.1,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,0,1864.7,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,1,1868.9,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,2,1858.6,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,3,1868.2,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,4,1856.4,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,5,1851.0,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,6,1861.7,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,7,1862.2,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,8,1858.6,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,9,1893.6,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,10,1867.1,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,11,1872.0,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,12,1881.9,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,13,1878.0,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_interleaved,Interleaved,"A100 PCIe (P2P off, SHM)",480,2,14,1897.0,out/runpod-pcie/session_out/bench-b480-il/20260822T193853Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,0,1767.3,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,1,1769.9,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,2,1721.8,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,3,1729.4,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
